muni_code;muni_name;uf_code;uf_acr;tipo_regiao;bioma;altitude;koppen;pop22;prop_esgot;prop_abast;prop_residuo
1400027;Amajari;14;RR;n„o metropolitana;amazonia;396,94;Am;16994;10,72;55,89;22,96
1400050;Alto Alegre;14;RR;metropolitana;amazonia;445,62;Am;23582;18,7;65,25;36,24
1400100;Boa Vista;14;RR;metropolitana;amazonia;87,63;Am;408157;55,38;99,16;96,36
1400159;Bonfim;14;RR;metropolitana;amazonia;125,7;Am;16169;39,93;91,78;34,74
1400175;Cant√°;14;RR;metropolitana;amazonia;146,81;Am;18030;11,26;93,4;23,86
1400209;Caracara√≠;14;RR;n„o metropolitana;amazonia;107,84;Af;20780;58,03;88,53;61,18
1400233;Caroebe;14;RR;n„o metropolitana;amazonia;219,43;Af;10555;15,59;94,48;44,68
1400282;Iracema;14;RR;n„o metropolitana;amazonia;313,08;Am;11000;51,16;80,99;45,7
1400308;Mucaja√≠;14;RR;metropolitana;amazonia;217,67;Am;17058;3,95;94,38;56,09
1400407;Normandia;14;RR;n„o metropolitana;amazonia;179,46;Am;15264;16,46;65,16;22,44
1400456;Pacaraima;14;RR;n„o metropolitana;amazonia;349,74;Am;19317;25,99;79,57;54,07
1400472;Rorain√≥polis;14;RR;n„o metropolitana;amazonia;64,26;Af;29932;11,66;87,92;56,06
1400506;S√£o Jo√£o Da Baliza;14;RR;n„o metropolitana;amazonia;147,2;Af;8011;25,84;95,45;65,4
1400605;S√£o Luiz;14;RR;n„o metropolitana;amazonia;121,64;Af;6192;44,23;94,86;65,86
1400704;Uiramut√£;14;RR;n„o metropolitana;amazonia;759,87;Am;13764;5,61;47,3;11,01
1500107;Abaetetuba;15;PA;n„o metropolitana;amazonia;13,29;Af;158042;17,63;68,85;63,13
1500131;Abel Figueiredo;15;PA;n„o metropolitana;amazonia;212,29;Aw;6119;9,79;91,75;81,63
1500206;Acar√°;15;PA;n„o metropolitana;amazonia;34,87;Af;63268;6,4;64,02;25,89
1500305;Afu√°;15;PA;n„o metropolitana;amazonia;11,92;Am;38020;3,61;26,56;29,64
1500347;√Ågua Azul Do Norte;15;PA;n„o metropolitana;amazonia;313,6;Am;16672;20,37;94,37;31,57
1500404;Alenquer;15;PA;n„o metropolitana;amazonia;316,49;Am;86096;20,31;79,14;45,45
1500503;Almeirim;15;PA;n„o metropolitana;amazonia;271,02;Am;38843;34,88;78,53;64,8
1500602;Altamira;15;PA;n„o metropolitana;amazonia;266,33;Am;135067;18,75;86,98;79,6
1500701;Anaj√°s;15;PA;n„o metropolitana;amazonia;19,92;Am;34065;9,37;21,06;35,89
1500800;Ananindeua;15;PA;metropolitana;amazonia;15,77;Af;515745;55,45;92,1;97,75
1500859;Anapu;15;PA;n„o metropolitana;amazonia;144,96;Am;33566;1,75;85,26;41,42
1500909;Augusto Corr√™a;15;PA;n„o metropolitana;amazonia;26,43;Am;43691;26,8;82,76;28,12
1500958;Aurora Do Par√°;15;PA;n„o metropolitana;amazonia;47,52;Am;32772;18,41;83,67;30,18
1501006;Aveiro;15;PA;n„o metropolitana;amazonia;97,51;Af;18343;8,55;67,11;19
1501105;Bagre;15;PA;n„o metropolitana;amazonia;30,93;Af;35265;2,96;43,17;37,99
1501204;Bai√£o;15;PA;n„o metropolitana;amazonia;40,53;Am;51844;24,24;80,15;34,88
1501253;Bannach;15;PA;n„o metropolitana;amazonia;420,97;Am;3730;1,83;87,7;34,65
1501303;Barcarena;15;PA;n„o metropolitana;amazonia;13,55;Af;126733;29,4;82;82,96
1501402;Bel√©m;15;PA;metropolitana;amazonia;8,21;Am;1367336;68,41;96,09;96,72
1501451;Belterra;15;PA;n„o metropolitana;amazonia;129,83;Am;18060;21,24;68,7;39,76
1501501;Benevides;15;PA;metropolitana;amazonia;24,53;Af;56152;17,4;94,01;85,42
1501576;Bom Jesus Do Tocantins;15;PA;n„o metropolitana;amazonia;155,19;Aw;14511;13,23;88,43;54,85
1501600;Bonito;15;PA;n„o metropolitana;amazonia;53,59;Am;12892;13,94;88,71;33,57
1501709;Bragan√ßa;15;PA;n„o metropolitana;amazonia;39,13;Am;121793;14,75;73,89;61,48
1501725;Brasil Novo;15;PA;n„o metropolitana;amazonia;161,73;Am;30214;2,52;81,02;45,85
1501758;Brejo Grande Do Araguaia;15;PA;n„o metropolitana;amazonia;170,68;Aw;6791;7,63;93,52;43,75
1501782;Breu Branco;15;PA;n„o metropolitana;amazonia;80,19;Am;40157;5,48;88,19;64,26
1501808;Breves;15;PA;n„o metropolitana;amazonia;18,54;Af;114628;7,6;45,63;53,87
1501907;Bujaru;15;PA;n„o metropolitana;amazonia;30,73;Af;27049;10,62;73,37;31,05
1501956;Cachoeira Do Piri√°;15;PA;n„o metropolitana;amazonia;53,36;Am;26510;2,94;71,33;18,85
1502004;Cachoeira Do Arari;15;PA;n„o metropolitana;amazonia;5,62;Am;22950;39,01;76,66;32,6
1502103;Camet√°;15;PA;n„o metropolitana;amazonia;14,32;Af;134734;11,43;62,33;44,61
1502152;Cana√£ Dos Caraj√°s;15;PA;n„o metropolitana;amazonia;356,43;Am;75433;36,85;94,89;84,2
1502202;Capanema;15;PA;n„o metropolitana;amazonia;33,62;Am;70321;65,76;90,45;82,88
1502301;Capit√£o Po√ßo;15;PA;n„o metropolitana;amazonia;74,23;Am;56331;3,31;86,79;49,22
1502400;Castanhal;15;PA;metropolitana;amazonia;38,74;Am;200003;36,39;92,91;90,27
1502509;Chaves;15;PA;n„o metropolitana;amazonia;7,81;Am;20630;2;27,88;13,65
1502608;Colares;15;PA;n„o metropolitana;amazonia;7,28;Am;11923;2,01;88,59;32,04
1502707;Concei√ß√£o Do Araguaia;15;PA;n„o metropolitana;amazonia;200,42;Aw;44765;4,77;93,66;66,66
1502756;Conc√≥rdia Do Par√°;15;PA;n„o metropolitana;amazonia;41,38;Af;26869;6,81;82,49;56,71
1502764;Cumaru Do Norte;15;PA;n„o metropolitana;amazonia;356,77;Am;12397;1,66;80,99;26,67
1502772;Curion√≥polis;15;PA;n„o metropolitana;amazonia;254,67;Am;19929;4,51;69,93;46,46
1502806;Curralinho;15;PA;n„o metropolitana;amazonia;18,13;Af;38060;1,52;33,84;31,25
1502855;Curu√°;15;PA;n„o metropolitana;amazonia;18,58;Am;14126;1,18;78,43;18,09
1502905;Curu√ß√°;15;PA;n„o metropolitana;amazonia;20,54;Am;44493;23,11;92,5;51,89
1502939;Dom Eliseu;15;PA;n„o metropolitana;amazonia;202,8;Aw;58444;7,15;83,71;71,34
