"municipio_geocodigo","ano_e","xp","tp","dc3","dc6","dcmax","dcmed","dci","ds3","ds6","dsmax","dsmed","inc","p","st"
1100015,2010,28,16,0,0,2,1.5,2,3,2,16,1,495.34,8,0.6
1100015,2011,8,46,0,0,2,2,0,4,2,9,2,184.77,4,1.69
1100015,2012,97,16,1,1,11,2,1,2,1,9,1.5,1320.91,17,1.36
1100015,2013,8,7,1,0,3,1,5,1,0,3,1,522.86,10,0.31
1100015,2014,23,23,1,1,7,2,1,3,0,3,2,629,12,2.96
1100015,2015,97,18,2,1,13,4,1,2,1,12,1,2626.1,18,3.35
1100015,2016,8,17,0,0,2,1,2,1,1,11,1,353.82,7,0.15
1100015,2017,6,10,0,0,1,1,2,2,0,4,1,294.85,4,0.14
1100015,2018,34,44,2,2,11,8.5,0,3,0,4,4,1100.76,20,1.74
1100015,2019,16,11,1,0,5,2,0,1,1,10,2,593.62,15,1.88
1100015,2020,2,20,0,0,0,0,0,6,2,7,3,70.76,0,0.14
1100015,2021,24,34,2,1,8,1,8,3,1,6,3,1033.93,21,4.23
1100015,2022,95,16,5,3,12,5,0,1,0,4,4,3663.95,42,0.48
1100023,2010,13,9,1,1,6,2,0,1,1,11,1,163.96,17,0.79
1100023,2011,7,4,0,0,1,1,2,1,0,3,1,71.73,5,0.3
1100023,2012,13,14,0,0,2,1,3,2,0,3,1,110.86,6,1.59
1100023,2013,29,11,2,2,12,7,1,1,0,4,1,277.61,22,1.45
1100023,2014,12,27,0,0,2,2,0,0,0,2,2,117.38,9,1.89
1100023,2015,46,24,1,1,23,1,3,1,0,3,1.5,526.34,28,1.85
1100023,2016,26,19,3,2,7,1,5,0,0,1,1,325.12,28,2.38
1100023,2017,5,14,0,0,0,0,0,4,0,4,2,42.85,2,1.12
1100023,2018,5,39,0,0,0,0,0,1,1,23,1,40.06,2,1.42
1100023,2019,15,20,5,1,11,3,2,1,1,7,4.5,291.58,30,1.03
1100023,2020,5,25,0,0,0,0,0,2,1,6,1,54.96,1,3.45
1100023,2021,123,40,1,1,37,19,1,1,0,4,2,1774.65,39,13.83
1100023,2022,69,2,3,3,20,1,4,1,0,4,1,718.24,37,9.76
1100031,2010,8,27,0,0,1,1,1,3,2,24,16,305.27,1,0.06
1100031,2011,4,22,0,0,0,0,0,4,2,9,4,915.81,0,0.24
1100031,2012,6,12,0,0,1,1,2,4,3,6,1.5,980.08,5,0.25
1100031,2013,2,22,0,0,0,0,0,5,4,10,8.5,192.8,0,0.07
1100031,2014,17,32,1,1,9,9,0,4,3,13,7.5,1831.62,9,0.7
1100031,2015,14,16,1,0,3,1,3,2,1,23,1.5,1301.41,9,0.73
1100031,2016,4,36,0,0,0,0,0,6,3,12,3,321.34,0,0.05
1100031,2017,4,32,0,0,0,0,0,4,4,20,6.5,176.74,0,0.05
1100031,2018,10,36,0,0,2,2,1,5,3,7,3,1092.54,5,0.6
1100031,2019,18,6,0,0,2,2,0,1,1,17,1,1397.81,4,0.6
1100031,2020,2,17,0,0,0,0,0,3,2,35,11,48.2,0,0.09
1100031,2021,12,25,0,0,1,1,2,3,3,21,8,562.34,4,0.38
1100031,2022,17,17,2,0,4,3,1,3,2,23,6,1703.08,8,0.03
1100049,2010,12,12,3,0,5,4,1,1,0,3,1,212.41,17,0.62
1100049,2011,11,18,0,0,1,1,3,0,0,2,1,135.58,6,2.74
1100049,2012,52,22,1,1,28,1,4,0,0,2,1,824.79,33,2.68
1100049,2013,16,28,1,1,6,1,3,0,0,2,2,222.58,16,1.85
1100049,2014,18,28,2,1,14,3,2,0,0,1,1,307.32,22,4.38
1100049,2015,77,20,1,1,20,2,1,1,0,3,1,927.61,26,4.35
1100049,2016,15,17,1,1,6,2,2,2,0,3,2,198.85,14,1.37
1100049,2017,9,31,1,0,4,1,4,1,0,4,1,154.79,9,0.59
1100049,2018,9,31,0,0,2,1,2,0,0,2,1,151.4,7,0.29
1100049,2019,14,23,3,1,10,3,1,0,0,1,1,299.41,24,1.11
1100049,2020,15,20,2,1,6,1.5,3,2,0,4,2,239.53,18,11.66
1100049,2021,182,21,1,1,30,2,1,1,0,3,1,2554.6,36,8.68
1100049,2022,56,24,2,1,21,2.5,1,1,0,4,1,882.42,29,2.67
1100056,2010,31,17,2,1,7,4,0,2,0,3,1,1159.81,16,0.37
1100056,2011,15,26,0,0,2,1,6,1,0,3,2,1014.83,11,3.79
1100056,2012,128,23,1,1,15,1,2,3,1,9,3,5124.34,18,4.37
1100056,2013,6,21,0,0,1,1,1,4,1,7,2,223.04,2,0.39
1100056,2014,7,39,0,0,1,1,1,3,1,6,1.5,384.74,2,2.51
1100056,2015,72,18,1,1,10,5.5,1,2,2,10,1.5,2743.39,14,1.18
1100056,2016,55,21,1,1,12,2,1,2,2,8,1,2029.66,15,1.74
1100056,2017,3,28,0,0,0,0,0,4,1,12,1.5,122.67,0,0.13
1100056,2018,4,23,0,0,0,0,0,4,2,13,2,128.25,0,0.98
1100056,2019,29,24,1,1,14,7.5,1,1,0,4,1,1433.03,18,0.94
1100056,2020,3,11,0,0,0,0,0,5,2,19,3,83.64,0,0.41
1100056,2021,7,32,0,0,2,1.5,1,2,1,24,2,262.07,3,1.25
1100056,2022,27,23,2,1,9,2,2,3,2,6,3,1371.7,19,0.16
1100064,2010,65,10,2,2,14,5.5,1,1,1,11,2,3443.98,26,2.04
1100064,2011,31,26,2,1,10,4,0,1,0,3,2,1407.92,18,0.39
1100064,2012,26,19,1,1,11,2,2,1,0,4,1,1370.01,18,0.49
1100064,2013,10,12,0,0,2,1,4,1,1,7,1,574,7,0.56
1100064,2014,5,34,0,0,0,0,0,3,2,7,1.5,259.92,1,0.65
1100064,2015,18,17,2,2,7,7,1,1,0,3,1,1207.56,16,0.27
1100064,2016,36,24,1,0,5,2,1,3,2,8,2,1012.62,12,0.86
1100064,2017,4,28,0,0,0,0,0,3,0,3,1,259.92,0,0.09
1100064,2018,5,5,0,0,0,0,0,3,1,6,2,314.07,2,0.24
1100064,2019,14,27,1,1,8,2,1,1,1,19,2,747.28,14,0.43
1100064,2020,6,40,0,0,1,1,1,3,2,18,3,140.79,2,0.21
1100064,2021,2,25,0,0,0,0,0,2,2,25,24.5,27.08,0,0.48
1100064,2022,38,22,1,0,5,5,0,3,3,20,14,606.49,5,0.01
1100072,2010,5,21,0,0,0,0,0,3,2,26,9,254.07,3,0.04
1100072,2011,8,21,0,0,2,1,2,4,2,14,3,588.98,4,0.11
1100072,2012,8,24,0,0,1,1,3,3,2,18,2,658.27,6,0.11
1100072,2013,7,12,0,0,1,1,1,5,2,16,3,277.17,1,0.09
1100072,2014,11,27,0,0,1,1,3,2,2,15,1,750.66,3,0.11
1100072,2015,13,23,1,0,5,5,0,5,3,8,4.5,843.05,6,0.16
1100072,2016,4,24,0,0,0,0,0,4,2,28,6.5,150.13,0,0.08
1100072,2017,4,31,0,0,0,0,0,3,2,18,3.5,138.58,0,0.02
1100072,2018,4,25,0,0,0,0,0,4,2,24,3.5,115.49,0,0.16
1100072,2019,8,23,1,0,3,2,1,3,1,6,1.5,923.89,4,0.17
1100072,2020,2,9,0,0,0,0,0,4,3,22,11,46.19,0,0.11
1100072,2021,1,25,0,0,0,0,0,2,2,24,11,46.19,0,0.3
1100072,2022,20,18,2,0,3,2.5,1,3,2,14,3,1443.58,11,0.1
1100080,2010,33,22,2,0,5,3,1,2,2,15,1.5,931.03,12,0.28
1100080,2011,10,20,0,0,2,1,3,3,2,13,1,448.28,6,0.15
1100080,2012,26,23,1,0,3,2.5,0,4,2,13,3,614.94,7,0.81
1100080,2013,47,9,2,2,9,4,1,3,1,15,2.5,1925.29,18,1.01
1100080,2014,5,28,0,0,0,0,0,3,2,18,2,143.68,1,0.13
1100080,2015,10,19,1,0,4,4,0,2,2,27,14,247.13,5,0.17
1100080,2016,0,1,0,0,0,0,0,1,1,52,52,0,0,0
1100080,2017,1,27,0,0,0,0,0,2,2,26,25.5,5.75,0,0.02
1100080,2018,2,15,0,0,0,0,0,3,2,29,8,45.98,0,0.02
1100080,2019,3,39,0,0,0,0,0,3,3,18,2,120.69,0,0.15
1100080,2020,7,10,0,0,1,1,2,6,2,9,3.5,241.38,2,0.14
1100080,2021,8,48,0,0,1,1,2,5,3,10,4,206.9,2,0.2
1100080,2022,17,28,1,0,3,1.5,2,4,2,14,4,528.74,7,0.13
1100098,2010,18,5,0,0,2,1.5,2,1,1,19,1,314.87,7,0.53
1100098,2011,5,51,0,0,0,0,0,7,1,7,3,96.88,1,4.47
1100098,2012,124,24,1,1,15,1,3,0,0,1,1,2285.8,22,4.06
1100098,2013,32,6,1,1,10,5.5,1,4,0,5,1,596.43,12,2.01
1100098,2014,15,22,1,0,3,2,2,3,0,5,1.5,423.86,12,4.89
1100098,2015,95,14,3,1,10,2,2,0,0,2,2,2188.92,26,3.74
1100098,2016,42,24,2,2,9,9,1,2,0,4,1,1168.63,21,1.73
1100098,2017,6,4,0,0,1,1,2,3,0,5,1,166.52,2,0.78
1100098,2018,10,2,0,0,1,1,1,6,1,6,2,105.96,2,0.26
1100098,2019,35,42,1,1,11,2,1,4,1,11,3,784.14,15,1.81
1100098,2020,5,17,0,0,0,0,0,4,2,12,3.5,84.77,1,1.81
1100098,2021,55,30,2,1,16,9.5,0,3,1,14,5,1495.61,19,3.25
1100098,2022,17,22,1,1,10,2,1,3,1,6,2,566.15,14,2.48
1100106,2010,35,24,3,2,21,4.5,0,1,0,4,1,1403.55,33,2.33
1100106,2011,19,24,2,0,3,2,1,0,0,2,2,463.64,18,2.69
1100106,2012,40,7,2,2,11,3.5,2,2,1,9,2,996.82,19,3.26
1100106,2013,10,17,0,0,2,1.5,1,3,1,7,2,145.41,5,0.19
1100106,2014,4,10,0,0,0,0,0,4,2,19,4.5,40.04,0,1.58
1100106,2015,55,21,2,0,4,2,4,1,1,8,1,872.48,22,1.21
1100106,2016,13,18,0,0,2,2,0,3,1,9,2,217.07,7,0.7
1100106,2017,7,19,0,0,1,1,3,2,0,4,2,172.81,6,0.39
1100106,2018,4,30,0,0,0,0,0,5,2,12,5,42.15,0,0.06
1100106,2019,13,35,0,0,2,1.5,1,3,3,11,1,153.84,5,0.68
1100106,2020,23,20,1,0,3,3,0,2,0,5,2,198.1,5,0.49
1100106,2021,8,25,0,0,1,1,3,3,2,10,2,153.84,5,4.91
1100106,2022,185,15,1,1,12,6.5,1,2,2,13,2,1801.86,13,0.13
1100114,2010,29,12,0,0,1,1,1,4,2,8,1.5,110.97,1,0.15
1100114,2011,15,28,3,0,3,3,0,4,0,3,2.5,232.68,12,1.55
1100114,2012,62,17,1,1,10,1,6,0,0,2,1,570.96,16,1.27
1100114,2013,9,6,0,0,1,1,4,3,2,6,2,137.82,4,0.39
1100114,2014,6,30,0,0,1,1,1,5,3,10,4,55.48,2,0.29
1100114,2015,16,27,2,0,5,3,1,3,2,11,1.5,195.09,9,0.92
1100114,2016,41,23,1,1,6,1,3,4,2,6,4,408.08,14,1.27
1100114,2017,2,7,0,0,0,0,0,3,3,21,13,8.95,0,0.07
1100114,2018,4,26,0,0,0,0,0,6,2,11,3.5,41.17,0,0.32
1100114,2019,13,32,1,0,3,1.5,3,2,1,9,1,266.69,11,0.81
1100114,2020,11,13,0,0,2,1,3,1,1,15,1,236.26,12,0.84
1100114,2021,32,35,1,1,20,2,1,2,1,8,2,730.25,29,9.89
1100114,2022,181,14,2,2,15,11.5,0,3,0,4,1.5,2756.35,23,1.62
1100122,2010,14,45,2,0,3,2.5,1,2,2,11,1,99.5,11,0.22
1100122,2011,14,16,1,0,3,1.5,2,4,2,10,5,77.64,11,1.12
1100122,2012,63,17,1,1,7,1.5,2,3,2,14,2.5,198.24,12,1.21
1100122,2013,29,9,3,2,15,1,5,1,0,3,1,324.12,35,0.97
1100122,2014,15,25,2,1,6,2,2,3,1,6,2.5,134.92,17,4.98
1100122,2015,125,20,1,1,16,1,2,2,0,4,3,775.63,19,4.36
1100122,2016,41,18,2,1,10,1,4,1,0,3,1,247.99,24,1.09
1100122,2017,10,17,1,0,3,1,3,0,0,1,1,137.19,12,0.39
1100122,2018,8,12,0,0,1,1,1,1,0,4,1,66.33,2,0.52
1100122,2019,7,20,0,0,1,1,2,2,0,3,1,73.12,4,0.47
1100122,2020,16,30,1,1,11,1,5,1,0,3,1,198.24,25,6.76
1100122,2021,146,28,1,1,34,18,0,0,0,1,1,1913.81,37,10.56
1100122,2022,179,16,1,1,18,18,0,3,2,14,5.5,827.64,18,8.67
1100130,2010,29,9,2,2,11,8,0,0,0,2,1,890.98,25,2.63
1100130,2011,7,18,0,0,2,2,0,3,0,5,1,160.58,2,0.56
1100130,2012,15,25,1,1,11,1.5,3,0,0,2,2,595.72,22,2.88
1100130,2013,27,10,3,2,8,1,4,1,0,3,1,787.38,24,2.87
1100130,2014,5,30,0,0,0,0,0,3,0,5,1.5,163.17,1,2.7
1100130,2015,38,20,1,1,17,1,3,0,0,2,1,1113.73,25,6.58
1100130,2016,123,9,2,1,11,3,2,0,0,1,1,1724.99,19,7.46
1100130,2017,4,32,0,0,0,0,0,4,0,4,1,101.01,0,0.32
1100130,2018,2,6,0,0,0,0,0,5,2,11,3.5,56.98,0,0.53
1100130,2019,15,8,1,0,3,1,2,1,0,3,1,328.94,10,0.71
1100130,2020,10,33,0,0,2,1,2,4,1,6,1.5,194.26,6,0.7
1100130,2021,48,30,2,1,11,2,2,2,1,7,2,1007.54,21,4.62
1100130,2022,49,16,3,1,12,1,5,1,0,3,1,1232.87,31,1.16
1100148,2010,44,28,3,1,12,5,2,1,0,3,1,2253.18,24,1.66
1100148,2011,13,30,1,1,10,1,4,1,0,5,1.5,818.5,17,1.46
1100148,2012,38,19,1,1,19,19,0,2,1,7,2,2064.65,20,1.08
1100148,2013,45,29,1,1,20,1.5,2,0,0,2,1,1917.51,26,0.58
1100148,2014,13,25,2,1,6,2.5,1,2,1,16,3,634.57,13,2.36
1100148,2015,59,19,1,1,14,2,1,2,2,16,9,2368.14,18,2.33
1100148,2016,19,24,3,0,4,2.5,2,2,0,3,2,846.09,15,0.69
1100148,2017,4,21,0,0,0,0,0,4,2,6,2,170.14,0,0.31
1100148,2018,8,34,0,0,2,1,2,3,2,7,2,390.86,7,1.16
1100148,2019,32,25,1,1,19,10,1,2,0,4,1.5,1572.63,20,1.05
1100148,2020,9,22,0,0,2,1.5,1,2,2,9,2,358.67,4,0.81
1100148,2021,71,29,1,1,23,1,5,2,0,5,5,3605.09,33,4.39
1100148,2022,27,23,1,1,11,1,3,2,1,8,2,1020.83,18,3.76
1100155,2010,18,9,0,0,2,1.5,1,1,0,3,1,314.39,5,0.41
1100155,2011,5,25,0,0,0,0,0,4,2,17,3,65.39,1,0.31
1100155,2012,10,25,2,0,4,2,2,1,0,3,1,379.79,11,0.43
1100155,2013,6,36,0,0,1,1,1,2,0,5,1,191.15,2,0.22
1100155,2014,8,28,0,0,2,1,3,0,0,1,1,304.33,9,0.56
1100155,2015,15,24,1,1,11,6.5,0,1,0,5,2,442.67,15,0.42
1100155,2016,11,17,0,0,2,2,2,2,0,4,1,321.94,9,0.33
1100155,2017,4,12,0,0,0,0,0,4,0,5,1,123.24,0,0.24
1100155,2018,3,18,0,0,0,0,0,5,1,7,1,83,0,0.06
1100155,2019,6,25,0,0,1,1,1,2,0,5,1,103.12,2,0.12
1100155,2020,2,10,0,0,0,0,0,4,2,23,4,22.64,0,0.09
1100155,2021,6,28,0,0,1,1,1,4,2,8,2,105.64,1,0.38
1100155,2022,6,25,0,0,1,1,1,3,1,7,1,211.27,3,0.05
1100189,2010,13,28,0,0,2,1,4,2,0,5,1,312.74,7,0.21
1100189,2011,13,19,1,0,4,2.5,1,1,0,3,1,254.92,6,3
1100189,2012,77,18,3,1,16,3.5,1,1,0,4,1,1434.92,24,2.84
1100189,2013,30,9,2,0,5,2,2,1,0,5,1,646.5,17,0.78
1100189,2014,13,23,2,0,4,2,3,1,0,3,2,457.28,17,2.86
1100189,2015,55,22,1,1,18,1,3,2,0,4,1,1687.21,24,3.18
1100189,2016,7,26,0,0,2,1,2,5,1,6,3,204.99,5,1.2
1100189,2017,7,24,0,0,1,1,2,1,1,7,2,197.1,4,0.24
1100189,2018,8,27,0,0,1,1,1,2,1,7,1,189.22,3,0.32
1100189,2019,12,30,0,0,2,2,1,1,0,3,1,360.04,8,0.66
1100189,2020,19,23,1,1,9,5,1,3,3,11,4.5,378.44,11,0.63
1100189,2021,29,30,3,2,16,9,0,1,1,14,1,1348.19,29,14.87
1100189,2022,205,22,2,2,21,6,1,1,0,5,1,5637.17,30,1.81
1100205,2010,106,10,3,2,18,3,2,0,0,1,1,184.82,38,5.38
1100205,2011,16,23,3,1,8,1,7,0,0,1,1,57.56,31,10.08
1100205,2012,225,18,3,2,25,5.5,1,0,0,1,1,319,38,8.7
1100205,2013,62,25,4,3,28,4.5,2,0,0,1,1,152.67,49,3.07
1100205,2014,52,6,2,2,32,10,1,0,0,0,0,158.44,44,11.14
1100205,2015,194,21,2,2,39,6,1,0,0,1,1,560.61,48,10.45
1100205,2016,120,17,2,2,29,2,1,0,0,1,1,297.63,47,15.97
1100205,2017,24,19,4,2,11,2.5,3,0,0,1,1,84.51,37,2.18
1100205,2018,36,31,3,3,11,1,6,0,0,1,1,85.09,37,3.73
1100205,2019,36,21,4,4,11,7.5,1,0,0,1,1,127.64,43,1.7
1100205,2020,35,15,3,2,16,1,4,0,0,0,0,98.38,41,4.85
1100205,2021,285,30,2,1,39,2.5,2,0,0,1,1,656.87,47,27.14
1100205,2022,176,17,2,2,39,7,1,0,0,2,2,562.53,48,11.36
1100254,2010,15,28,1,0,4,1,5,2,1,7,1,632.8,12,0.32
1100254,2011,4,15,0,0,0,0,0,4,2,18,3,99.44,0,0.69
1100254,2012,32,22,1,1,13,13,0,2,1,15,2,1211.35,14,0.55
1100254,2013,27,22,2,1,7,2,1,2,0,3,1,1170.67,18,0.39
1100254,2014,8,14,0,0,2,1.5,2,2,2,10,2,411.32,7,0.72
1100254,2015,35,24,1,1,12,1,3,3,1,8,2,1450.91,16,0.32
1100254,2016,41,23,1,1,7,7,0,3,1,9,3.5,718.68,7,0.92
1100254,2017,10,27,1,0,3,3,0,2,1,17,1.5,230.52,3,0.1
1100254,2018,20,25,0,0,1,1,3,3,3,14,2,298.32,5,0.3
1100254,2019,12,6,0,0,1,1,2,1,0,5,1,501.72,8,0.22
1100254,2020,14,23,1,1,6,4,0,4,0,5,2,515.28,9,0.67
1100254,2021,35,22,3,1,20,1,4,1,0,3,2,2119.87,34,1.57
1100254,2022,64,27,1,1,23,1.5,2,1,0,4,1.5,3032.91,27,0.43
1100262,2010,5,16,0,0,0,0,0,4,1,17,3,1018.54,2,0.05
1100262,2011,1,22,0,0,0,0,0,2,2,30,25.5,26.12,0,0.03
1100262,2012,2,24,0,0,0,0,0,4,3,19,13.5,104.47,0,0
1100262,2013,1,22,0,0,0,0,0,2,2,30,25.5,26.12,0,0
1100262,2014,2,17,0,0,0,0,0,4,4,16,10,130.58,0,0.08
1100262,2015,10,21,1,0,3,2,1,3,2,20,3,1566.99,8,0.08
1100262,2016,2,21,0,0,0,0,0,3,2,25,20,104.47,0,0.04
1100262,2017,5,34,0,0,0,0,0,3,2,27,4,548.45,1,0.05
1100262,2018,3,30,0,0,0,0,0,5,3,16,5,339.51,0,0.02
1100262,2019,6,31,0,0,1,1,1,3,2,19,2,1201.36,4,0.06
1100262,2020,3,45,0,0,0,0,0,2,2,18,1.5,679.03,0,0.05
1100262,2021,5,26,0,0,0,0,0,6,3,8,3.5,887.96,1,0.14
1100262,2022,19,24,1,1,14,14,0,2,2,15,13,4361.45,14,0.15
1100288,2010,37,9,2,1,7,3.5,0,2,1,22,2.5,441.53,17,1.31
1100288,2011,19,14,0,0,2,1.5,1,5,1,6,3,115.64,3,2.34
1100288,2012,51,19,2,1,11,1,3,1,1,6,1,730.63,18,1.92
1100288,2013,8,26,0,0,1,1,5,3,1,8,2,166.45,8,1.99
1100288,2014,45,21,2,1,12,8.5,0,4,0,5,2,742.9,17,1.09
1100288,2015,78,16,2,1,7,6,0,4,2,7,2,800.71,13,2.12
1100288,2016,10,20,0,0,2,1.5,2,2,0,5,1,206.75,9,0.39
1100288,2017,10,9,1,0,4,1.5,2,3,2,12,3.5,166.45,10,0.67
1100288,2018,2,47,0,0,0,0,0,6,2,9,4,24.53,0,0.15
1100288,2019,16,37,2,0,5,2,2,1,0,4,1,374.95,19,1.07
1100288,2020,3,9,0,0,0,0,0,3,1,6,1,61.32,0,1.04
1100288,2021,20,34,2,1,18,2,2,1,1,16,1,509.86,28,4.29
1100288,2022,58,16,2,1,19,11.5,0,3,1,6,3,1201.95,24,0.93
1100296,2010,8,25,0,0,2,2,0,3,2,15,2,365.94,3,0.07
1100296,2011,1,12,0,0,0,0,0,2,2,38,11,24.4,0,0.52
1100296,2012,32,16,1,1,8,1,2,3,2,12,3.5,1658.94,10,0.44
1100296,2013,4,19,0,0,0,0,0,4,2,17,2.5,414.74,0,0.14
1100296,2014,2,5,0,0,0,0,0,5,2,20,3.5,170.77,0,0.51
1100296,2015,28,16,1,0,4,2,1,5,2,11,4,1524.76,9,0.44
1100296,2016,4,19,0,0,0,0,0,4,2,15,2,378.14,0,0.11
1100296,2017,4,23,0,0,0,0,0,4,3,20,5.5,121.98,0,0.02
1100296,2018,1,9,0,0,0,0,0,3,3,28,14,24.4,0,0.05
1100296,2019,7,34,0,0,1,1,1,7,1,14,3,365.94,1,0.09
1100296,2020,2,33,0,0,0,0,0,3,3,16,12,97.58,0,0.06
1100296,2021,4,25,0,0,0,0,0,6,2,11,3,280.56,0,1.98
1100296,2022,51,16,1,1,12,2,1,2,1,12,1,5611.12,17,0.08
1100304,2010,23,21,1,1,16,1,2,0,0,2,1,291.75,21,4.16
1100304,2011,88,22,2,2,37,8,1,0,0,1,1,1561.23,47,11.34
1100304,2012,110,22,3,2,22,8,1,0,0,1,1,1547.63,43,14.66
1100304,2013,12,19,0,0,2,1,6,0,0,2,1,178.81,12,2.23
1100304,2014,46,30,3,2,18,2,3,0,0,1,1,756.04,43,7.43
1100304,2015,116,20,2,1,20,1,3,0,0,2,1,1092.75,26,8.16
1100304,2016,17,21,1,1,12,1,3,0,0,2,1,233.19,19,1.27
1100304,2017,13,8,1,1,6,1,5,0,0,2,1,198.68,19,0.86
1100304,2018,9,31,0,0,2,1,4,2,0,5,1.5,123.39,8,6.51
1100304,2019,127,27,1,1,32,16.5,1,0,0,1,1,1702.39,35,7.02
1100304,2020,10,21,3,1,6,2.5,2,0,0,1,1,238.42,22,6.83
1100304,2021,53,31,1,1,33,1,2,0,0,1,1,868.97,35,21.44
1100304,2022,182,16,3,2,34,10,0,0,0,1,1,2756.46,47,1.8
1100320,2010,15,10,0,0,1,1,2,1,1,8,1,310.16,4,0.6
1100320,2011,28,16,2,0,5,2,2,2,1,15,1,1009.06,14,0.59
1100320,2012,74,16,1,1,8,8,0,4,1,7,2.5,1356.44,10,1.01
1100320,2013,2,20,0,0,0,0,0,4,1,16,2,86.85,0,0.06
1100320,2014,15,30,0,0,1,1,2,3,1,10,1,231.59,3,0.8
1100320,2015,33,15,1,1,11,6.5,0,2,1,21,1,922.21,13,0.78
1100320,2016,5,18,0,0,0,0,0,4,3,20,6,95.12,2,0.09
1100320,2017,2,28,0,0,0,0,0,4,3,24,10.5,20.68,0,0.02
1100320,2018,1,27,0,0,0,0,0,2,2,26,25.5,4.14,0,0.36
1100320,2019,32,23,2,0,4,3,1,3,1,6,1,690.62,9,0.34
1100320,2020,6,38,0,0,1,1,1,5,3,17,6.5,45.49,1,0.35
1100320,2021,49,16,0,0,2,2,0,4,1,16,1,479.72,4,0.32
1100320,2022,8,20,0,0,1,1,1,4,1,13,2,140.61,1,0.02
1100338,2010,2,35,0,0,0,0,0,4,3,27,5,27.69,0,0
1100338,2011,1,7,0,0,0,0,0,2,2,42,6,10.38,0,0.13
1100338,2012,15,33,1,1,6,6,0,4,1,9,1,301.13,7,0.51
1100338,2013,9,7,0,0,1,1,2,4,2,10,4,204.22,5,0.56
1100338,2014,9,24,0,0,1,1,2,2,1,23,1.5,211.14,5,0.44
1100338,2015,21,28,1,0,3,1,4,2,2,10,1,574.57,12,0.32
1100338,2016,3,18,0,0,0,0,0,3,3,19,8,38.07,0,0.55
1100338,2017,1,7,0,0,0,0,0,5,4,16,9,13.85,0,0.03
1100338,2018,8,28,0,0,2,2,0,5,3,16,8,72.69,2,0.79
1100338,2019,26,24,2,1,13,8,0,1,0,5,1,837.63,19,0.7
1100338,2020,2,4,0,0,0,0,0,6,2,20,3,34.61,0,0.5
1100338,2021,5,21,0,0,0,0,0,3,1,6,2,190.37,1,2.14
1100338,2022,45,20,1,1,17,2,1,2,0,5,1,1571.42,21,0.18
1100346,2010,30,23,3,1,16,3,2,2,0,3,2,2024.24,25,0.76
1100346,2011,9,8,0,0,1,1,1,1,0,3,1,471.73,2,1.86
1100346,2012,97,16,1,1,16,9,0,2,1,8,2,3618.56,18,1.98
1100346,2013,5,33,0,0,0,0,0,4,1,9,2,250.79,1,0.16
1100346,2014,8,26,0,0,1,1,1,3,0,4,1,465.76,6,0.18
1100346,2015,13,22,1,0,3,2,1,2,2,20,13,609.06,11,0.31
1100346,2016,3,15,0,0,0,0,0,7,1,19,3,89.57,0,0.08
1100346,2017,0,1,0,0,0,0,0,1,1,52,52,0,0,0.01
1100346,2018,0,1,0,0,0,0,0,1,1,52,52,0,0,0
1100346,2019,2,48,0,0,0,0,0,2,1,47,25.5,11.94,0,0.01
1100346,2020,1,45,0,0,0,0,0,2,2,44,25.5,5.97,0,0.02
1100346,2021,5,31,0,0,0,0,0,3,2,19,5,107.48,1,1.22
1100346,2022,58,14,2,1,7,3,1,4,1,8,2.5,2012.3,13,0.03
1100379,2010,7,27,0,0,1,1,2,6,1,7,3,348.88,2,0.04
1100379,2011,4,5,0,0,0,0,0,3,2,15,2,206.48,0,0.87
1100379,2012,41,19,1,1,9,2,1,3,1,7,2,1815.59,14,0.89
1100379,2013,7,7,0,0,2,2,0,3,2,30,2,185.12,2,0.28
1100379,2014,5,12,0,0,0,0,0,5,2,18,3,170.88,2,0.13
1100379,2015,9,17,0,0,1,1,2,3,1,25,2,291.92,2,0.12
1100379,2016,5,18,0,0,0,0,0,4,2,21,5,206.48,1,0.05
1100379,2017,4,17,0,0,0,0,0,3,3,9,1,213.6,0,0.07
1100379,2018,3,25,0,0,0,0,0,6,4,7,3,135.28,0,1.05
1100379,2019,39,17,2,1,9,7,0,3,1,8,1.5,1794.23,15,0.98
1100379,2020,9,17,0,0,1,1,1,5,3,9,2,206.48,1,0.12
1100379,2021,5,16,0,0,0,0,0,2,2,14,1,242.08,1,0.25
1100379,2022,14,24,1,0,3,2,1,3,2,15,2,576.72,5,0.02
1100403,2010,14,27,2,0,4,1.5,3,0,0,2,1.5,894.05,16,0.29
1100403,2011,8,34,0,0,2,1.5,1,2,0,4,2,392.04,5,0.27
1100403,2012,9,40,0,0,1,1,3,2,0,3,1,521.13,7,0.25
1100403,2013,8,8,0,0,1,1,4,4,1,10,2,329.89,5,0.65
1100403,2014,4,21,0,0,0,0,0,4,2,25,4,43.03,0,0.23
1100403,2015,8,24,0,0,2,1,3,2,2,12,1,387.26,8,0.16
1100403,2016,17,24,0,0,2,2,0,3,2,18,3,272.52,3,0.28
1100403,2017,3,17,0,0,0,0,0,2,2,20,1,86.06,0,0.09
1100403,2018,2,14,0,0,0,0,0,5,3,24,5,28.69,0,0.11
1100403,2019,4,18,0,0,0,0,0,5,1,22,3,119.53,0,0.06
1100403,2020,8,18,0,0,1,1,1,3,2,15,3,148.21,1,0.08
